ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: site-sidebar-layout","Meta: site-content-layout","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_estimated-reading-time-minutes","Meta: _wp_page_template"
7116,simple,0100-00040,"ANTILOPE T-SHIRTS",1,0,visible,"Unisex t-shirt.\n\nThis is Short description","This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product.",,,taxable,,1,5,2,notify,0,0.5,,,,1,,20,29,"Men's Shirts, Mens, T-shirts, Unisex, Womans, Women's Shirts",,,https://benchmarked.site/stautas.no/wp-content/uploads/2022/01/0100.jpg,,,,,,,,,0,color,"Orange, White",1,1,size,"L, M, XL",1,1,default,default,74,60,1,
7180,simple,0100-00040-1,T-SHIRTS,1,0,visible,"Unisex t-shirt.\n\nThis is Short description","This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product.",,,taxable,,1,5,2,notify,0,0.5,,,,1,,,29,"Men's Shirts, Mens, T-shirts, Unisex, Womans, Women's Shirts",,,https://benchmarked.site/stautas.no/wp-content/uploads/2022/02/40497_034-scaled.jpg,,,,,,,,,0,color,"Orange, White",1,1,size,"L, M, XL",1,1,default,default,74,60,1,
7184,simple,0100-00040-1-1,"Men's Jacket",1,0,visible,"Unisex t-shirt.\n\nThis is Short description","This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product.",,,taxable,,1,5,2,notify,0,0.5,,,,1,,35,40,"Men's Shirts, Mens, T-shirts, Unisex, Womans, Women's Shirts",,,https://benchmarked.site/stautas.no/wp-content/uploads/2022/02/33909_603-scaled.jpg,,,,,,,,,0,color,"Orange, White",1,1,size,"L, M, XL",1,1,default,default,74,60,1,
7185,simple,0100-00040-1-1-1,Hudi,1,0,visible,"Unisex t-shirt.\n\nThis is Short description","This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product. This is long information about the product.",,,taxable,,1,5,2,notify,0,0.5,,,,1,,,58,"Men's Shirts, Mens, T-shirts, Unisex, Womans, Women's Shirts",,,https://benchmarked.site/stautas.no/wp-content/uploads/2022/02/41777_597-scaled.jpg,,,,,,,,,0,color,"Orange, White",1,1,size,"L, M, XL",1,1,default,default,74,60,1,
7480,simple,EAN,"Description NO",1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,,Uncategorized,,,,,,,,,,,,0,,,,,,,,,,,,,,default
7481,simple,4002395372195,"SPENNINGSDETEKTOR 2200-40",1,0,visible,,,,,none,,1,,,0,0,,225,75,35,0,,,250,Uncategorized,,,https://benchmarked.site/stautas.no/wp-content/uploads/2022/02/2200_402200-40-Hero_1_HiRes.jpg,,,,,,,,,0,,,,,,,,,,,,,,default
7483,simple,4002395238026,"ELEKTRISK TESTER 2205-40",1,0,visible,,,,,none,,1,,,0,0,,245,104,80,0,,,1925,Uncategorized,,,https://benchmarked.site/stautas.no/wp-content/uploads/2022/02/2205_402205_40-Hero_1_HiRes.jpg,,,,,,,,,0,,,,,,,,,,,,,,default
7485,simple,4002395006526,"ELEKTRISK TESTER 2212-20",1,0,visible,,,,,none,,1,,,0,0,,210,165,50,0,,,725,Uncategorized,,,https://benchmarked.site/stautas.no/wp-content/uploads/2022/02/2212-202212-20-Hero_01_HiRes.jpg,,,,,,,,,0,,,,,,,,,,,,,,default
7487,simple,4002395240128,"DIGITALT MULTIMETER 2216-40",1,0,visible,,,,,none,,1,,,0,0,,214,124,70,0,,,1790,Uncategorized,,,https://benchmarked.site/stautas.no/wp-content/uploads/2022/02/2216_402216_40-Hero_1_HiRes.jpg,,,,,,,,,0,,,,,,,,,,,,,,default
7489,simple,4002395238064,"DIGITALT MULTIMETER 2217-40",1,0,visible,,,,,none,,1,,,0,0,,214,119,89,0,,,2275,Uncategorized,,,https://benchmarked.site/stautas.no/wp-content/uploads/2022/02/2217_402217_40-Hero_1_HiRes.jpg,,,,,,,,,0,,,,,,,,,,,,,,default
